country_id,iso3_code,country_name,region,subregion,latitude,longitude,valid_from,valid_to,notes
ABW,ABW,Aruba,,,12.515625722992898,-69.97564014284046,1970,,BACI country_code=533; centroid source=world-countries-centroids
AFG,AFG,Afghanistan,,,34.13402601376932,66.59216131095278,1970,,BACI country_code=4; centroid source=world-countries-centroids
AGO,AGO,Angola,,,-12.167424062667942,17.651768783079,1970,,BACI country_code=24; centroid source=world-countries-centroids
AIA,AIA,Anguilla,,,18.222874004219086,-63.06008343771806,1970,,BACI country_code=660; centroid source=world-countries-centroids
ALB,ALB,Albania,,,41.14165894891656,20.061082767269493,1970,,BACI country_code=8; centroid source=world-countries-centroids
AND,AND,Andorra,,,42.54859834854764,1.5802243611232873,1970,,BACI country_code=20; centroid source=world-countries-centroids
ARE,ARE,United Arab Emirates,,,24.18250292309135,54.27920525789581,1970,,BACI country_code=784; centroid source=world-countries-centroids
ARG,ARG,Argentina,,,-35.697270518120085,-64.53238503843076,1970,,BACI country_code=32; centroid source=world-countries-centroids
ARM,ARM,Armenia,,,40.17841274230679,45.05490831965259,1970,,BACI country_code=51; centroid source=world-countries-centroids
ASM,ASM,American Samoa,,,-14.305711987770538,-170.7007316174498,1970,,BACI country_code=16; centroid source=world-countries-centroids
ATF,ATF,Glorioso Islands,,,-11.566224871643417,47.290948081543384,1970,,BACI country_code=260; centroid source=world-countries-centroids
ATG,ATG,Antigua and Barbuda,,,17.07146759372967,-61.78530823226373,1970,,BACI country_code=28; centroid source=world-countries-centroids
AUS,AUS,Australia,,,-25.697337673983082,134.02277170916162,1970,,BACI country_code=36; centroid source=world-countries-centroids
AUT,AUT,Austria,,,47.631858269895794,13.797778364631036,1970,,BACI country_code=40; centroid source=world-countries-centroids
AZE,AZE,Azerbaijan,,,40.3920509942049,48.634592670644324,1970,,BACI country_code=31; centroid source=world-countries-centroids
BDI,BDI,Burundi,,,-3.261251993278643,29.88518227845293,1970,,BACI country_code=108; centroid source=world-countries-centroids
BEL,BEL,Belgium,,,50.6182138854095,4.675010154696485,1970,,BACI country_code=56; centroid source=world-countries-centroids
BEL,BEL,Belgium,,,50.6182138854095,4.675010154696485,1970,,BACI country_code=58; centroid source=world-countries-centroids
BEN,BEN,Benin,,,9.503013199615893,2.305714528830206,1970,,BACI country_code=204; centroid source=world-countries-centroids
BES,BES,Saint Eustatius,,,17.4919042294197,-62.978230589445026,1970,,BACI country_code=535; centroid source=world-countries-centroids
BFA,BFA,Burkina Faso,,,12.108709036312737,-1.6932816211842325,1970,,BACI country_code=854; centroid source=world-countries-centroids
BGD,BGD,Bangladesh,,,23.673728665121,90.43212562608613,1970,,BACI country_code=50; centroid source=world-countries-centroids
BGR,BGR,Bulgaria,,,42.82043677302438,25.251739122561908,1970,,BACI country_code=100; centroid source=world-countries-centroids
BHR,BHR,Bahrain,,,26.04798501537066,50.540695402276775,1970,,BACI country_code=48; centroid source=world-countries-centroids
BHS,BHS,Bahamas,,,24.72162633646784,-78.07275370060313,1970,,BACI country_code=44; centroid source=world-countries-centroids
BIH,BIH,Bosnia and Herzegovina,,,44.14415356126429,17.83467240787538,1970,,BACI country_code=70; centroid source=world-countries-centroids
BLM,BLM,Saint Barthelemy,,,17.90561691241738,-62.83051610005156,1970,,BACI country_code=652; centroid source=world-countries-centroids
BLR,BLR,Belarus,,,53.46791374543163,27.964252054715104,1970,,BACI country_code=112; centroid source=world-countries-centroids
BLZ,BLZ,Belize,,,17.24252476647155,-88.68273510023441,1970,,BACI country_code=84; centroid source=world-countries-centroids
BMU,BMU,Bermuda,,,32.315067430740726,-64.7458500599169,1970,,BACI country_code=60; centroid source=world-countries-centroids
BOL,BOL,Bolivia,,,-16.7312488393574,-64.45209597511206,1970,,BACI country_code=68; centroid source=world-countries-centroids
BRA,BRA,Brazil,,,-11.524630416426652,-54.355206608256424,1970,,BACI country_code=76; centroid source=world-countries-centroids
BRB,BRB,Barbados,,,13.183219369337529,-59.557383949150285,1970,,BACI country_code=52; centroid source=world-countries-centroids
BRN,BRN,Brunei Darussalam,,,4.543205889917609,114.6430958360464,1970,,BACI country_code=96; centroid source=world-countries-centroids
BTN,BTN,Bhutan,,,27.42163933959824,90.46716647173861,1970,,BACI country_code=64; centroid source=world-countries-centroids
BWA,BWA,Botswana,,,-22.236609002062902,23.85779956995608,1970,,BACI country_code=72; centroid source=world-countries-centroids
CAF,CAF,Central African Republic,,,6.331390033944319,20.520743419397256,1970,,BACI country_code=140; centroid source=world-countries-centroids
CAN,CAN,Canada,,,57.550480044655636,-98.41680517868062,1970,,BACI country_code=124; centroid source=world-countries-centroids
CCK,CCK,Cocos Islands,,,-12.171249450199545,96.83688767323002,1970,,BACI country_code=166; centroid source=world-countries-centroids
CHE,CHE,Switzerland,,,46.73678128684938,8.286928794895285,1970,,BACI country_code=757; centroid source=world-countries-centroids
CHL,CHL,Chile,,,-37.82938283049967,-70.76863431739216,1970,,BACI country_code=152; centroid source=world-countries-centroids
CHN,CHN,China,,,38.07325481105728,104.69113855849604,1970,,BACI country_code=156; centroid source=world-countries-centroids
CIV,CIV,Côte d'Ivoire,,,7.536779279421307,-5.571710194917734,1970,,BACI country_code=384; centroid source=world-countries-centroids
CMR,CMR,Cameroon,,,6.294168487480992,12.948474142398263,1970,,BACI country_code=120; centroid source=world-countries-centroids
COD,COD,Congo DRC,,,-3.338629596207896,23.419827574282188,1970,,BACI country_code=180; centroid source=world-countries-centroids
COG,COG,Congo,,,-0.7294391595233845,14.879732849491393,1970,,BACI country_code=178; centroid source=world-countries-centroids
COK,COK,Cook Islands,,,-21.222613253399842,-159.78768870952257,1970,,BACI country_code=184; centroid source=world-countries-centroids
COL,COL,Colombia,,,4.187753877352739,-72.6445066243485,1970,,BACI country_code=170; centroid source=world-countries-centroids
COM,COM,Comoros,,,-11.658861474508491,43.34826587429403,1970,,BACI country_code=174; centroid source=world-countries-centroids
CPV,CPV,Cabo Verde,,,15.076411518651643,-23.63401005900474,1970,,BACI country_code=132; centroid source=world-countries-centroids
CRI,CRI,Costa Rica,,,9.863467407406214,-84.14673625701816,1970,,BACI country_code=188; centroid source=world-countries-centroids
CUB,CUB,Cuba,,,21.476176522869448,-79.69817857618705,1970,,BACI country_code=192; centroid source=world-countries-centroids
CUW,CUW,Curacao,,,12.199996647939832,-68.96939768599042,1970,,BACI country_code=531; centroid source=world-countries-centroids
CXR,CXR,Christmas Island,,,-10.446440802183416,105.70209512200549,1970,,BACI country_code=162; centroid source=world-countries-centroids
CYM,CYM,Cayman Islands,,,19.311231805620288,-81.25203208977878,1970,,BACI country_code=136; centroid source=world-countries-centroids
CYP,CYP,Cyprus,,,35.11700416345239,33.375346009199205,1970,,BACI country_code=196; centroid source=world-countries-centroids
CZE,CZE,Czech Republic,,,49.74917370930982,15.383273292023533,1970,,BACI country_code=203; centroid source=world-countries-centroids
DEU,DEU,Germany,,,51.08304539800482,10.426171427430804,1970,,BACI country_code=276; centroid source=world-countries-centroids
DEU,DEU,Germany,,,51.08304539800482,10.426171427430804,1970,,BACI country_code=280; centroid source=world-countries-centroids
DJI,DJI,Djibouti,,,11.750235727618804,42.613496898789506,1970,,BACI country_code=262; centroid source=world-countries-centroids
DMA,DMA,Dominica,,,15.429269860940513,-61.360471946942994,1970,,BACI country_code=212; centroid source=world-countries-centroids
DNK,DNK,Denmark,,,56.00118817971057,9.378670542409406,1970,,BACI country_code=208; centroid source=world-countries-centroids
DOM,DOM,Dominican Republic,,,18.77954818522993,-70.43495198520012,1970,,BACI country_code=214; centroid source=world-countries-centroids
DZA,DZA,Algeria,,,28.350969744889056,2.6558464719769135,1970,,BACI country_code=12; centroid source=world-countries-centroids
ECU,ECU,Ecuador,,,-1.5642721388853116,-78.4630326109714,1970,,BACI country_code=218; centroid source=world-countries-centroids
EGY,EGY,Egypt,,,26.60517034450628,30.240135435012338,1970,,BACI country_code=818; centroid source=world-countries-centroids
ERI,ERI,Eritrea,,,15.005533147667684,39.2672401449901,1970,,BACI country_code=232; centroid source=world-countries-centroids
ESP,ESP,Canarias,,,28.297665106525546,-16.53799441021647,1970,,BACI country_code=724; centroid source=world-countries-centroids
EST,EST,Estonia,,,58.648108311231034,25.916870250633806,1970,,BACI country_code=233; centroid source=world-countries-centroids
ETH,ETH,Ethiopia,,,8.729389557048396,39.914902886544276,1970,,BACI country_code=231; centroid source=world-countries-centroids
FIN,FIN,Finland,,,65.01578959749911,25.65738433454702,1970,,BACI country_code=246; centroid source=world-countries-centroids
FJI,FJI,Fiji,,,-17.822470952336204,177.98144613732626,1970,,BACI country_code=242; centroid source=world-countries-centroids
FLK,FLK,Falkland Islands,,,-51.75901312766726,-58.746646363799854,1970,,BACI country_code=238; centroid source=world-countries-centroids
FRA,FRA,France,,,46.6423682169416,2.1940236627886227,1970,,BACI country_code=251; centroid source=world-countries-centroids
FSM,FSM,Micronesia,,,6.8789448129255435,158.2291899444527,1970,,BACI country_code=583; centroid source=world-countries-centroids
GAB,GAB,Gabon,,,-0.628448459921234,11.839410898545754,1970,,BACI country_code=266; centroid source=world-countries-centroids
GBR,GBR,United Kingdom,,,53.97844735080214,-2.852943909329258,1970,,BACI country_code=826; centroid source=world-countries-centroids
GEO,GEO,Georgia,,,42.17986277737226,43.378866534112234,1970,,BACI country_code=268; centroid source=world-countries-centroids
GHA,GHA,Ghana,,,7.94530467243628,-1.219233362526581,1970,,BACI country_code=288; centroid source=world-countries-centroids
GIB,GIB,Gibraltar,,,36.14022671336082,-5.345549484594358,1970,,BACI country_code=292; centroid source=world-countries-centroids
GIN,GIN,Guinea,,,10.255986541378112,-10.986948848040218,1970,,BACI country_code=324; centroid source=world-countries-centroids
GMB,GMB,Gambia,,,13.428617959189328,-15.383380385869662,1970,,BACI country_code=270; centroid source=world-countries-centroids
GNB,GNB,Guinea-Bissau,,,11.980075324820504,-14.980186756910847,1970,,BACI country_code=624; centroid source=world-countries-centroids
GNQ,GNQ,Equatorial Guinea,,,1.5954643936590733,10.425456672353823,1970,,BACI country_code=226; centroid source=world-countries-centroids
GRC,GRC,Greece,,,39.42012261727978,23.110368936161876,1970,,BACI country_code=300; centroid source=world-countries-centroids
GRD,GRD,Grenada,,,12.112926656338907,-61.67937937204098,1970,,BACI country_code=308; centroid source=world-countries-centroids
GRL,GRL,Greenland,,,74.16847218965994,-42.07567788066985,1970,,BACI country_code=304; centroid source=world-countries-centroids
GTM,GTM,Guatemala,,,15.820878515352684,-90.31219349119617,1970,,BACI country_code=320; centroid source=world-countries-centroids
GUM,GUM,Guam,,,13.445430479945276,144.78024458298802,1970,,BACI country_code=316; centroid source=world-countries-centroids
GUY,GUY,Guyana,,,4.68211981385056,-58.91352612754667,1970,,BACI country_code=328; centroid source=world-countries-centroids
HND,HND,Honduras,,,14.740370695750006,-86.49251679006962,1970,,BACI country_code=340; centroid source=world-countries-centroids
HRV,HRV,Croatia,,,44.91192100856702,16.625761129583374,1970,,BACI country_code=191; centroid source=world-countries-centroids
HTI,HTI,Haiti,,,18.883520486983567,-72.89291379842,1970,,BACI country_code=332; centroid source=world-countries-centroids
HUN,HUN,Hungary,,,47.22527332486294,19.39620048366142,1970,,BACI country_code=348; centroid source=world-countries-centroids
IDN,IDN,Indonesia,,,0.15591979959037652,113.96538246847302,1970,,BACI country_code=360; centroid source=world-countries-centroids
IND,IND,India,,,23.586300567746722,81.17300408530181,1970,,BACI country_code=699; centroid source=world-countries-centroids
IOT,IOT,British Indian Ocean Territory,,,-7.323548444385743,72.43501618476016,1970,,BACI country_code=86; centroid source=world-countries-centroids
IRL,IRL,Ireland,,,53.30489539816495,-8.241128545554096,1970,,BACI country_code=372; centroid source=world-countries-centroids
IRN,IRN,Iran,,,32.906023742890056,54.237077001065444,1970,,BACI country_code=364; centroid source=world-countries-centroids
IRQ,IRQ,Iraq,,,33.105075667527906,43.832529181056884,1970,,BACI country_code=368; centroid source=world-countries-centroids
ISL,ISL,Iceland,,,65.12360920205514,-19.05682967106099,1970,,BACI country_code=352; centroid source=world-countries-centroids
ISR,ISR,Israel,,,31.513542220043195,35.027923472437024,1970,,BACI country_code=376; centroid source=world-countries-centroids
ITA,ITA,Italy,,,42.98201127614267,12.763657166123137,1970,,BACI country_code=380; centroid source=world-countries-centroids
JAM,JAM,Jamaica,,,18.12207889341651,-77.30358894542778,1970,,BACI country_code=388; centroid source=world-countries-centroids
JOR,JOR,Jordan,,,31.387064884449156,36.95728884547246,1970,,BACI country_code=400; centroid source=world-countries-centroids
JPN,JPN,Japan,,,36.76738832597829,137.46934234351835,1970,,BACI country_code=392; centroid source=world-countries-centroids
KAZ,KAZ,Kazakhstan,,,47.641465195176835,66.3759193479301,1970,,BACI country_code=398; centroid source=world-countries-centroids
KEN,KEN,Kenya,,,0.6899182318376179,37.95309411262371,1970,,BACI country_code=404; centroid source=world-countries-centroids
KGZ,KGZ,Kyrgyzstan,,,41.35698905438358,74.17532903468319,1970,,BACI country_code=417; centroid source=world-countries-centroids
KHM,KHM,Cambodia,,,12.699186865507775,105.03973078680701,1970,,BACI country_code=116; centroid source=world-countries-centroids
KIR,KIR,Kiribati,,,1.8676673749241066,-157.39024189323504,1970,,BACI country_code=296; centroid source=world-countries-centroids
KNA,KNA,Saint Kitts and Nevis,,,17.314736299587768,-62.74560385895787,1970,,BACI country_code=659; centroid source=world-countries-centroids
KOR,KOR,South Korea,,,36.402386712544114,127.76224551357649,1970,,BACI country_code=410; centroid source=world-countries-centroids
KWT,KWT,Kuwait,,,29.281360965443092,47.56311109320184,1970,,BACI country_code=414; centroid source=world-countries-centroids
LAO,LAO,Laos,,,18.117282736873282,103.76375899026448,1970,,BACI country_code=418; centroid source=world-countries-centroids
LBN,LBN,Lebanon,,,33.91160170722086,35.89651946324749,1970,,BACI country_code=422; centroid source=world-countries-centroids
