year,country_id,commodity_id,total_import_tonnes,total_export_tonnes,net_import_tonnes,net_export_tonnes,number_of_suppliers,largest_supplier_share,herfindahl_hirschman_index,notes
2024,ABW,ammonia,0.001,0,0.001,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,AFG,ammonia,0.402,0,0.402,0,2,0.995025,0.990099,HHI is calculated over direct import suppliers only
2024,AGO,ammonia,96.532,0.594,95.938,0,12,0.292328,0.184937,HHI is calculated over direct import suppliers only
2024,ALB,ammonia,36.029,0,36.029,0,4,0.767604,0.641923,HHI is calculated over direct import suppliers only
2024,AND,ammonia,0.311,0,0.311,0,2,0.964630,0.931762,HHI is calculated over direct import suppliers only
2024,ARE,ammonia,6257.478,61754.891,0,55497.413,8,0.501713,0.495457,HHI is calculated over direct import suppliers only
2024,ARG,ammonia,5.359,47720.717,0,47715.358,6,0.808733,0.677918,HHI is calculated over direct import suppliers only
2024,ARM,ammonia,22.56,0,22.56,0,8,0.492908,0.414457,HHI is calculated over direct import suppliers only
2024,ATG,ammonia,14,0,14,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,AUS,ammonia,49315.368,246931.091,0,197615.723,14,0.971935,0.945109,HHI is calculated over direct import suppliers only
2024,AUT,ammonia,43878.811,34678.124,9200.687,0,20,0.634125,0.440629,HHI is calculated over direct import suppliers only
2024,AZE,ammonia,184.979,0,184.979,0,8,0.532060,0.392435,HHI is calculated over direct import suppliers only
2024,BDI,ammonia,15.599,0,15.599,0,3,0.914418,0.843375,HHI is calculated over direct import suppliers only
2024,BEL,ammonia,831372.202,112896.525,718475.677,0,26,0.401999,0.236028,HHI is calculated over direct import suppliers only
2024,BEN,ammonia,4.031,0.308,3.723,0,3,0.501116,0.491968,HHI is calculated over direct import suppliers only
2024,BFA,ammonia,0.128,0,0.128,0,3,0.742188,0.589233,HHI is calculated over direct import suppliers only
2024,BGD,ammonia,47.342,29588.7,0,29541.358,8,0.874805,0.770246,HHI is calculated over direct import suppliers only
2024,BGR,ammonia,312605.384,65992.702,246612.682,0,17,0.469850,0.322141,HHI is calculated over direct import suppliers only
2024,BHR,ammonia,140.622,106036.059,0,105895.437,6,0.651456,0.482110,HHI is calculated over direct import suppliers only
